2016-11-06 17:16:01 status half-configured mawk:armhf 1.3.3-17
2016-11-06 17:16:01 status unpacked mawk:armhf 1.3.3-17
2016-11-06 17:16:01 status half-installed mawk:armhf 1.3.3-17
2016-11-06 17:16:01 status half-installed mawk:armhf 1.3.3-17
2016-11-06 17:16:01 status unpacked mawk:armhf 1.3.3-17
2016-11-06 17:16:01 status unpacked mawk:armhf 1.3.3-17
2016-11-06 17:16:01 install libncurses5:armhf <none> 5.9+20140913-1+b1
2016-11-06 17:16:01 status half-installed libncurses5:armhf 5.9+20140913-1+b1
2016-11-06 17:16:01 status unpacked libncurses5:armhf 5.9+20140913-1+b1
2016-11-06 17:16:01 status unpacked libncurses5:armhf 5.9+20140913-1+b1
2016-11-06 17:16:01 install libncursesw5:armhf <none> 5.9+20140913-1+b1
2016-11-06 17:16:01 status half-installed libncursesw5:armhf 5.9+20140913-1+b1
2016-11-06 17:16:01 status unpacked libncursesw5:armhf 5.9+20140913-1+b1
2016-11-06 17:16:01 status unpacked libncursesw5:armhf 5.9+20140913-1+b1
2016-11-06 17:16:01 install libtinfo5:armhf <none> 5.9+20140913-1+b1
2016-11-06 17:16:01 status half-installed libtinfo5:armhf 5.9+20140913-1+b1
2016-11-06 17:16:01 status unpacked libtinfo5:armhf 5.9+20140913-1+b1
2016-11-06 17:16:01 status unpacked libtinfo5:armhf 5.9+20140913-1+b1
2016-11-06 17:16:01 install ncurses-base:all <none> 5.9+20140913-1
2016-11-06 17:16:01 status half-installed ncurses-base:all 5.9+20140913-1
2016-11-06 17:16:01 status unpacked ncurses-base:all 5.9+20140913-1
2016-11-06 17:16:01 status unpacked ncurses-base:all 5.9+20140913-1
2016-11-06 17:16:01 install ncurses-bin:armhf <none> 5.9+20140913-1+b1
2016-11-06 17:16:01 status half-installed ncurses-bin:armhf 5.9+20140913-1+b1
2016-11-06 17:16:02 status unpacked ncurses-bin:armhf 5.9+20140913-1+b1
2016-11-06 17:16:02 status unpacked ncurses-bin:armhf 5.9+20140913-1+b1
2016-11-06 17:16:02 install libpam-modules:armhf <none> 1.1.8-3.1+deb8u1+b1
2016-11-06 17:16:02 status half-installed libpam-modules:armhf 1.1.8-3.1+deb8u1+b1
2016-11-06 17:16:03 status unpacked libpam-modules:armhf 1.1.8-3.1+deb8u1+b1
2016-11-06 17:16:03 status unpacked libpam-modules:armhf 1.1.8-3.1+deb8u1+b1
2016-11-06 17:16:03 install libpam-modules-bin:armhf <none> 1.1.8-3.1+deb8u1+b1
2016-11-06 17:16:03 status half-installed libpam-modules-bin:armhf 1.1.8-3.1+deb8u1+b1
2016-11-06 17:16:03 status unpacked libpam-modules-bin:armhf 1.1.8-3.1+deb8u1+b1
2016-11-06 17:16:03 status unpacked libpam-modules-bin:armhf 1.1.8-3.1+deb8u1+b1
2016-11-06 17:16:03 install libpam-runtime:all <none> 1.1.8-3.1+deb8u1
2016-11-06 17:16:03 status half-installed libpam-runtime:all 1.1.8-3.1+deb8u1
2016-11-06 17:16:03 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u1
2016-11-06 17:16:03 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u1
2016-11-06 17:16:03 install libpam0g:armhf <none> 1.1.8-3.1+deb8u1+b1
